category	count
Street Vendors	57
Automotive	56
Bubble Tea	56
Arcades	55
Vietnamese	54
Hair Salons	53
Cultural Center	52
Nail Salons	52
Community Service/Non-Profit	51
Shoe Stores	51
Sports Medicine	50
Comic Books	47
Music & DVDs	46
Ramen	45
Beer Gardens	45
Creperies	45
Bed & Breakfast	44
Wholesale Stores	44
Greek	43
Food Delivery Services	42
Gas & Service Stations	42
Children's Clothing	42
Cantonese	41
Real Estate	41
Jewelry	41
Basque	40
Florists	40
Computers	38
Dance Schools	35
Dentists	34
Waxing	34
Butcher	34
Hair Removal	34
Fruits & Veggies	32
Pilates	32
Reflexology	32
Toy Stores	31
Latin American	31
IT Services & Computer Repair	31
Eyewear & Opticians	30
Climbing	30
Optometrists	30
Macarons	30
Saunas	30
Souvenir Shops	29
Apartments	28
Outdoor Gear	28
Financial Services	27
Fabric Stores	27
Argentine	26
Musical Instruments & Teachers	24
Barbers	24
Acupuncture	24
Country Clubs	23
Hobby Shops	23
Banks & Credit Unions	23
Polish	23
Skin Care	22
Vinyl Records	21
Eyelash Service	21
Caterers	21
Knitting Supplies	19
Party & Event Planning	19
Tasting Classes	18
Sewing & Alterations	18
Internet Cafes	18
Pets	18
Guest Houses	18
Keys & Locksmiths	17
Makeup Artists	17
Piercing	16
Tattoo	16
Tobacco Shops	16
Flowers	16
Baby Gear & Furniture	15
Taiwanese	14
Pet Stores	14
General Dentistry	13
Caribbean	13
Physical Therapy	13
Swimwear	13
University Housing	13
Choirs	12
Distilleries	12
Art Supplies	12
Taxis	12
Naturopathic/Holistic	11
Halal	11
Canadian (New)	11
Interior Design	11
Tires	10
Bangladeshi	10
Newspapers & Magazines	9
Party Supplies	9
Cafeteria	8
Aquariums	8
Lingerie	7
Dry Cleaning & Laundry	7
Video Game Stores	7
Smog Check Stations	7
Auto Parts & Supplies	7
Costumes	7
Personal Shopping	7
Gay Bars	7
Adult Education	7
Parking	7
Photography Stores & Services	6
Sports Clubs	6
Cupcakes	6
Printing Services	6
Shoe Repair	6
Boat Charters	5
Mongolian	5
Ethiopian	5
Travel Services	5
Airport Lounges	5
Falafel	5
Car Rental	4
Pool Halls	4
Car Dealers	4
Skating Rinks	4
Lighting Fixtures & Equipment	4
Veterinarians	4
Boat Tours	4
Orthodontists	3
Funeral Services & Cemeteries	3
Ski Resorts	3
High Fidelity Audio Equipment	3
Kids Activities	3
Playgrounds	3
Leather Goods	3
