category	count
Casinos	10034
Tobacco Shops	9659
Ethnic Food	9622
Mobile Phones	9455
Nurseries & Gardening	9429
Airlines	9299
Korean	9284
New Mexican Cuisine	9147
Hospitals	9052
Oil Change Stations	8912
Shaved Ice	8852
Arts & Crafts	8747
Caribbean	8689
Museums	8686
Religious Organizations	8454
Accessories	8413
Shipping Centers	8234
Auto Detailing	8193
Bowling	8179
Churches	8136
Tires	8069
Soul Food	7944
Arcades	7743
Baseball Fields	7682
Electronics	7436
Dog Parks	7391
Fruits & Veggies	7330
French	7323
Computers	7321
Dry Cleaning & Laundry	7301
Beer Gardens	7176
Boot Camps	7019
Ramen	6955
Veterinarians	6852
Tapas/Small Plates	6844
Noodles	6712
IT Services & Computer Repair	6623
Fish & Chips	6562
Sports Wear	6366
Comfort Food	6317
Gay Bars	6316
Eyelash Service	6293
Bookstores	6253
Gelato	6229
Tanning	6080
Flowers & Gifts	5967
Amusement Parks	5814
Libraries	5707
Pet Boarding/Pet Sitting	5669
Chiropractors	5604
Dentists	5597
Playgrounds	5578
Local Flavor	5492
Post Offices	5440
Barre Classes	5144
Pet Training	5136
Specialty Schools	5118
Used, Vintage & Consignment	5064
Car Dealers	5060
Guns & Ammo	4987
Festivals	4908
Food Trucks	4884
Mongolian	4765
Medical Centers	4668
Creperies	4631
Food Court	4573
German	4554
General Dentistry	4504
Pilates	4391
Dim Sum	4273
Thrift Stores	4205
Pool Halls	4145
Hobby Shops	4143
Printing Services	4074
Comedy Clubs	4053
Waffles	4024
Bikes	4022
Art Galleries	3999
Cheesesteaks	3988
Urgent Care	3962
Jewelry	3949
Outdoor Gear	3926
Florists	3851
Auto Parts & Supplies	3820
Szechuan	3768
Discount Store	3721
Optometrists	3704
Kitchen & Bath	3659
Professional Services	3639
Dance Studios	3595
Eyewear & Opticians	3583
Climbing	3482
Swimming Pools	3426
Physical Therapy	3361
Community Service/Non-Profit	3352
Car Rental	3308
Caterers	3265
Zoos	3262
Antiques	3255
Parking	3239
Professional Sports Teams	3165
Toy Stores	3057
Weight Loss Centers	3047
Baby Gear & Furniture	2983
Children's Clothing	2970
Party & Event Planning	2949
Office Equipment	2884
Cantonese	2876
Botanical Gardens	2834
Recreation Centers	2807
Massage Therapy	2789
Pakistani	2750
Tea Rooms	2662
Knitting Supplies	2651
Cupcakes	2650
Landmarks & Historical Buildings	2594
Cosmetic Dentists	2565
Gun/Rifle Ranges	2549
Spanish	2495
Auto Glass Services	2451
Music & DVDs	2444
Mobile Phone Repair	2414
Halal	2397
Beer Bar	2389
Candy Stores	2343
Fondue	2329
Vape Shops	2295
Lingerie	2246
Middle Schools & High Schools	2206
Hookah Bars	2201
Hair Extensions	2186
Emergency Rooms	2150
Hair Stylists	2134
Tours	2117
Mattresses	2103
Men's Hair Salons	2035
Mini Golf	2016
Notaries	1995
Seafood Markets	1981
Skating Rinks	1963
Building Supplies	1923
Mortgage Brokers	1922
Persian/Iranian	1903
Tattoo	1849
Blow Dry/Out Services	1849
Martial Arts	1821
Country Clubs	1816
Boxing	1810
Musical Instruments & Teachers	1810
Brazilian	1810
Makeup Artists	1776
Art Museums	1772
Medical Spas	1751
Meat Shops	1740
Reflexology	1710
Champagne Bars	1697
Sewing & Alterations	1678
Spray Tanning	1665
Internet Service Providers	1662
Family Practice	1647
Cycling Classes	1597
Gift Shops	1597
Airport Terminals	1584
Comic Books	1581
Adult Entertainment	1543
Departments of Motor Vehicles	1539
Wineries	1539
Farms	1508
Fabric Stores	1505
Acupuncture	1478
Whiskey Bars	1431
Orthodontists	1409
Animal Shelters	1401
Pasta Shops	1383
Preschools	1380
Distilleries	1380
Polish	1338
Filipino	1336
Cuban	1331
Elementary Schools	1331
Diagnostic Services	1317
Swimming Lessons/Schools	1274
Chocolatiers & Shops	1274
Modern European	1256
Amateur Sports Teams	1254
Lakes	1252
Boating	1230
Kids Activities	1218
Food Delivery Services	1212
Pediatricians	1207
Live/Raw Food	1207
Costumes	1206
Food Tours	1182
Child Care & Day Care	1170
Aquariums	1168
Kosher	1167
Airport Lounges	1158
Tennis	1154
Piano Bars	1114
Jazz & Blues	1066
Do-It-Yourself Food	1054
Ethiopian	1052
Bridal	1036
Afghan	1036
Lebanese	1020
Electronics Repair	1015
Go Karts	1001
Obstetricians & Gynecologists	997
Body Shops	984
Tanning Beds	980
African	977
Internet Cafes	964
Taiwanese	964
Vitamins & Supplements	964
Pet Adoption	959
Food Stands	957
Motorcycle Dealers	935
Bike Repair/Maintenance	920
Self Storage	913
Tapas Bars	896
Travel Services	880
Dermatologists	879
Peruvian	878
Sports Medicine	873
Videos & Video Game Rental	869
Vinyl Records	868
Art Classes	867
Children's Museums	863
Public Transportation	861
Race Tracks	824
Chicken Shop	822
Mountain Biking	821
Piercing	814
Cards & Stationery	813
Nutritionists	806
Salvadoran	803
Cambodian	796
Bike Rentals	777
Threading Services	767
Poke	767
Wedding Planning	763
Country Dance Halls	755
Watches	748
Pediatric Dentists	742
Laser Hair Removal	740
Mass Media	727
Art Supplies	724
Taxis	724
Horseback Riding	719
Marinas	710
Soccer	704
Allergists	685
Cosmetology Schools	684
Trampoline Parks	683
Paint & Sip	674
Smog Check Stations	660
Butcher	659
Diagnostic Imaging	655
Shared Office Spaces	654
Leather Goods	646
Television Service Providers	642
Cheese Shops	631
Formal Wear	630
Vacation Rentals	626
Lighting Fixtures & Equipment	625
Scandinavian	625
Swimwear	621
Laboratory Testing	618
Oral Surgeons	617
Turkish	612
Macarons	610
Hotel bar	595
Party Supplies	592
Permanent Makeup	588
Musical Instrument Services	587
Paint-Your-Own Pottery	581
Puerto Rican	572
Art Schools	572
Empanadas	570
Vocational & Technical School	568
Disc Golf	553
Herbs & Spices	552
Colombian	544
Rock Climbing	542
Heating & Air Conditioning/HVAC	532
Orthopedists	532
Watch Repair	526
Teppanyaki	515
Airport Shuttles	507
Car Stereo Installation	504
Pharmacy	504
Shoe Repair	496
Massage Schools	491
Guitar Stores	485
Auto Loan Providers	483
Summer Camps	476
Coffee Roasteries	468
Motorcycle Repair	463
Ophthalmologists	456
Truck Rental	456
Tabletop Games	455
Mobile Phone Accessories	450
Courthouses	445
Hot Tub & Pool	437
Photography Stores & Services	434
Signmaking	434
Garage Door Services	434
Drive-In Theater	430
Flooring	425
Television Stations	425
Dance Schools	423
Windshield Installation & Repair	421
Pick Your Own Farms	417
Gymnastics	416
Adult	415
Meditation Centers	412
Plumbing	410
Ear Nose & Throat	408
Rafting/Kayaking	404
Golf Equipment	403
Jewelry Repair	400
Real Estate Services	400
Campgrounds	395
Cooking Schools	392
Water Parks	392
Escape Games	387
Framing	383
Architects	383
Blood & Plasma Donation Centers	379
Yelp Events	371
University Housing	370
Tattoo Removal	369
Landscaping	367
Laser Tag	367
Wigs	359
Community Centers	359
Adult Education	359
Transmission Repair	358
Video Game Stores	356
Naturopathic/Holistic	353
Skate Parks	349
Boat Charters	341
Appliances & Repair	337
Horse Racing	330
Radiologists	326
Insurance	324
Traditional Chinese Medicine	316
Flea Markets	315
Haunted Houses	312
Bistros	305
Rugs	301
Golf Equipment Shops	298
Couriers & Delivery Services	296
Cosmetic Surgeons	292
Leisure Centers	290
Races & Competitions	279
Motorcycle Gear	278
Financial Advising	277
Paint Stores	274
Photographers	273
Limos	273
Real Estate Agents	272
Internal Medicine	266
Plus Size Fashion	262
Golf Lessons	257
Counseling & Mental Health	255
Cardiologists	253
Archery	253
Pain Management	250
Pretzels	248
Educational Services	245
Laser Eye Surgery/Lasik	244
Periodontists	241
Street Vendors	241
Towing	241
Podiatrists	237
Bespoke Clothing	236
Cannabis Clinics	236
Diving	227
Print Media	225
Rehabilitation Center	224
Scuba Diving	223
Prenatal/Perinatal Care	220
Uniforms	215
Cultural Center	213
Interior Design	213
Movers	212
Dog Walkers	209
Opera & Ballet	207
Property Management	205
Ukrainian	199
Skate Shops	198
Data Recovery	195
Pawn Shops	195
Ethnic Grocery	194
Home Window Tinting	191
Tutoring Centers	190
Video/Film Production	190
Wheel & Rim Repair	189
Float Spa	187
Water Purification Services	186
Batting Cages	186
Neurologist	185
Social Clubs	182
Food Banks	179
Screen Printing/T-Shirt Printing	179
Auction Houses	179
Recycling Center	178
Moroccan	178
Session Photography	172
Malaysian	164
Reiki	160
Endodontists	160
Car Auctions	155
Poutineries	154
Auto Customization	153
Hot Pot	153
RV Parks	152
Funeral Services & Cemeteries	151
Battery Stores	151
Graphic Design	148
Maternity Wear	147
Life Coach	143
Recording & Rehearsal Studios	142
Arabian	142
Party Equipment Rentals	140
Local Fish Stores	140
Officiants	139
Midwives	139
Dive Shops	138
Carpet Cleaning	138
Medical Supplies	136
Shanghainese	136
Endocrinologists	129
Livestock Feed & Supply	129
Keys & Locksmiths	126
RV Dealers	126
Australian	126
Head Shops	121
Popcorn Shops	120
Retirement Homes	119
Shredding Services	116
Olive Oil	116
CSA	116
Psychics & Astrologers	114
Sugaring	114
Tax Services	112
Brewing Supplies	109
Teeth Whitening	109
Radio Stations	109
Cabaret	108
Water Stores	108
Fertility	103
Paintball	102
Oncologist	94
Souvenir Shops	91
Investing	90
Bed & Breakfast	89
Luggage	88
Gold Buyers	85
Registration Services	84
Pool Cleaners	84
Pool & Hot Tub Service	84
Wine Tasting Room	83
Bingo Halls	83
Accountants	81
Police Departments	81
RV Repair	80
Basque	80
Tai Chi	78
Furniture Reupholstery	78
Falafel	78
Challenge Courses	77
Marketing	75
Home Health Care	73
Driving Schools	72
Sports Psychologists	71
Fireworks	71
Tree Services	70
Russian	70
Visitor Centers	68
Outdoor Furniture Stores	67
Piano Services	66
Hats	66
IV Hydration	64
Auto Security	64
Laotian	62
Homeless Shelters	61
Lactation Services	60
Henna Artists	60
Cardio Classes	60
Check Cashing/Pay-day Loans	57
Machine & Tool Rental	57
Carpeting	56
Utilities	55
Firewood	54
Party Bike Rentals	53
Hot Air Balloons	53
Knife Sharpening	53
Appraisal Services	51
Auto Insurance	51
Career Counseling	50
Surgeons	48
Event Photography	48
Water Heater Installation/Repair	48
Videographers	48
Ticket Sales	47
Occupational Therapy	47
Propane	46
Basketball Courts	45
Gastroenterologist	45
Paddleboarding	44
Colonics	43
Rolfing	42
Mailbox Centers	41
Osteopathic Physicians	39
Landscape Architects	39
Windows Installation	38
Bird Shops	38
Electricians	38
Flight Instruction	37
Shoe Shine	37
Shades & Blinds	35
Pest Control	34
Screen Printing	34
Medical Transportation	33
Trophy Shops	33
Hindu Temples	33
Speech Therapists	32
Pole Dancing Classes	32
Life Insurance	31
Newspapers & Magazines	31
Advertising	30
Home Cleaning	30
Septic Services	29
Security Systems	28
CPR Classes	28
Contractors	28
Rest Stops	28
Lawyers	27
Hypnosis/Hypnotherapy	27
Wine Tours	27
Coffeeshops	25
Sleep Specialists	25
First Aid Classes	25
Personal Shopping	25
Skydiving	25
Damage Restoration	25
Pita	25
Audiologist	25
Cooking Classes	24
Business Consulting	24
Commercial Real Estate	24
Fitness/Exercise Equipment	24
DJs	24
Dominican	23
Customized Merchandise	23
Passport & Visa Services	22
Handyman	22
Assisted Living Facilities	22
Rheumatologists	22
Dinner Theater	22
Airsoft	21
Anesthesiologists	21
High Fidelity Audio Equipment	20
Private Investigation	20
Preventive Medicine	20
Ski Resorts	19
Security Services	19
Bail Bondsmen	18
Aquarium Services	17
Gardeners	17
Motorsport Vehicle Dealers	17
Guest Houses	17
Motorsport Vehicle Repairs	17
Psychiatrists	17
Real Estate Law	17
Synagogues	16
ATV Rentals/Tours	16
Furniture Rental	16
Duty-Free Shops	15
Home & Rental Insurance	15
Cafeteria	15
Mobile Home Parks	14
Carpet Installation	14
Uzbek	14
Fireplace Services	14
Planetarium	14
RV Rental	13
Cabinetry	13
Glass & Mirrors	13
Horse Boarding	13
Door Sales/Installation	13
Cryotherapy	13
Window Washing	13
Pressure Washers	13
Air Duct Cleaning	13
Car Share Services	13
DUI Law	12
Boat Dealers	11
Prosthetics	11
Mosques	11
Talent Agencies	11
Spiritual Shop	11
Personal Injury Law	11
Ski & Snowboard Shops	11
Special Education	10
Car Buyers	10
Payroll Services	10
Irrigation	10
Roadside Assistance	10
Jet Skis	10
Horse Equipment Shops	9
Walk-in Clinics	9
Trailer Repair	9
Estate Planning Law	9
Artificial Turf	9
Unofficial Yelp Events	9
Vinyl Siding	9
Business Law	9
Skilled Nursing	8
Orthotics	8
Telecommunications	8
Lice Services	8
Christmas Trees	8
Buddhist Temples	7
Personal Chefs	7
Criminal Defense Law	7
Religious Schools	7
Boat Repair	7
Test Preparation	7
Homeowner Association	7
Hang Gliding	6
Hepatologists	6
Wedding Chapels	6
Embassy	6
Web Design	6
Engraving	6
Junk Removal & Hauling	5
Home Theatre Installation	5
Shutters	5
Buses	5
Photo Booth Rentals	5
Firearm Training	5
Masonry/Concrete	5
Free Diving	4
Water Delivery	4
Pop-up Shops	4
Sledding	4
Fire Departments	4
Pulmonologist	4
Health Retreats	4
Refinishing Services	4
Embroidery & Crochet	4
Employment Agencies	4
Roofing	4
Office Cleaning	4
Hair Loss Centers	4
Employment Law	3
Fences & Gates	3
Burmese	3
Valet Services	3
Product Design	3
Decks & Railing	3
Fire Protection Services	3
Patio Coverings	3
Feng Shui	3
Auto Upholstery	3
Pool & Billiards	3
